dolar amerykañski;USD;3.9244;4.0036
dolar australijski;AUD;2.8906;2.949
dolar kanadyjski;CAD;3.1483;3.2119
euro;EUR;4.5302;4.6218
forint (Wêgry);HUF;0.01258;0.012834
frank szwajcarski;CHF;4.2215;4.3067
funt szterling;GBP;5.335;5.4428
jen (Japonia);JPY;0.034577;0.035275
korona czeska;CZK;0.1784;0.182
korona duñska;DKK;0.6088;0.6212
korona norweska;NOK;0.4591;0.4683
korona szwedzka;SEK;0.448;0.457
SDR (MFW);XDR;5.5247;5.6363
