dolar amerykañski;USD;3.9523;4.0321
dolar australijski;AUD;2.8885;2.9469
dolar kanadyjski;CAD;3.1604;3.2242
euro;EUR;4.5704;4.6628
forint (Wêgry);HUF;0.012677;0.012933
frank szwajcarski;CHF;4.2585;4.3445
funt szterling;GBP;5.3859;5.4947
jen (Japonia);JPY;0.035331;0.036045
korona czeska;CZK;0.1796;0.1832
korona duñska;DKK;0.6142;0.6266
korona norweska;NOK;0.4622;0.4716
korona szwedzka;SEK;0.452;0.4612
SDR (MFW);XDR;5.5774;5.69
